CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_OV,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_OverflowVoucher_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
AR-500,999,854,627,0.734,408,591,0,88,300,699,408,363,253,0.697,0,134,28,89,319,591,591,491,374,0.762,60,211,380,0,0,0,0,0.0,0,660,660,654,548,0.838,77,110,303,357
AR-501,265,218,183,0.839,152,113,0,49,138,127,152,105,105,1,0,0,20,55,97,113,113,113,78,0.69,29,83,30,0,0,0,0,0.0,0,40,40,40,40,1.0,0,0,0,40
AR-503,954,764,461,0.603,590,364,0,101,312,642,590,424,293,0.691,0,0,53,237,353,364,364,340,168,0.494,48,75,289,0,0,0,0,0.0,0,124,124,120,3,0.025,7,26,31,93
AR-504,211,125,93,0.744,126,85,0,31,81,130,126,40,40,1,0,9,23,49,77,85,85,85,53,0.624,8,32,53,0,0,0,0,0.0,0,50,50,50,50,1.0,0,0,0,50
AR-505,139,61,61,1,125,14,0,18,53,86,125,61,61,1,0,6,13,41,84,14,14,0,0,.,5,12,2,0,0,0,0,0.0,0,24,24,24,24,1.0,12,4,12,12
AR-507,79,71,38,0.535,49,30,0,12,33,46,49,41,13,0.317,0,0,3,8,41,30,30,30,25,0.833,9,25,5,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
AR-512,53,23,0,0,30,23,0,9,38,15,30,0,0,0,0,0,6,26,4,23,23,23,0,0,3,12,11,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
AZ-500,1510,870,796,0.915,897,613,0,251,853,657,897,404,373,0.923,2,51,124,464,433,613,613,466,423,0.908,127,389,224,0,0,0,0,0.0,0,403,403,403,403,1.0,138,43,134,269
AZ-501,2152,2009,1877,0.934,577,1560,15,314,1188,964,577,473,431,0.911,199,110,65,235,342,1560,1560,1521,1431,0.941,249,953,607,15,15,15,15,1.0,15,1092,1092,1020,873,0.856,116,148,410,682
AZ-502,5252,4300,3599,0.837,2637,2590,25,892,3061,2191,2637,1961,1429,0.729,0,63,358,1227,1410,2590,2590,2314,2145,0.927,534,1834,756,25,25,25,25,1.0,25,3013,3013,3013,3005,0.997,547,338,1077,1936
CA-500,1793,1601,1569,0.98,675,1108,10,305,995,798,675,614,614,1,471,0,75,280,395,1108,1108,977,945,0.967,230,715,393,10,10,10,10,1.0,10,2106,2106,2106,2064,0.98,625,413,1326,780
CA-501,2561,2434,2192,0.901,1792,744,25,193,675,1886,1792,1717,1486,0.865,189,0,97,365,1427,744,744,692,681,0.984,96,310,434,25,25,25,25,1.0,25,6710,6710,6710,6274,0.935,3568,514,1358,5352
CA-502,2390,2154,1081,0.502,862,1528,0,443,1319,1071,862,668,433,0.648,245,33,122,387,475,1528,1528,1486,648,0.436,321,932,596,0,0,0,0,0.0,0,2286,2286,2286,1660,0.726,455,352,1074,1212
CA-503,1727,1725,1463,0.848,706,1021,0,204,631,1096,706,704,562,0.798,44,36,45,211,495,1021,1021,1021,901,0.882,159,420,601,0,0,0,0,0.0,0,1810,1810,1810,1649,0.911,402,284,920,890
CA-504,1198,1145,925,0.808,591,607,0,192,610,588,591,569,468,0.822,25,57,59,223,368,607,607,576,457,0.793,133,387,220,0,0,0,0,0.0,0,542,542,502,480,0.956,189,58,190,352
CA-505,911,852,575,0.675,475,436,0,134,424,487,475,451,253,0.561,77,0,40,140,335,436,436,401,322,0.803,94,284,152,0,0,0,0,0.0,0,955,955,955,790,0.827,338,158,475,480
CA-506,1049,1010,768,0.76,281,768,0,118,489,560,281,242,135,0.558,0,23,18,65,216,768,768,768,633,0.824,100,424,344,0,0,0,0,0.0,0,197,197,197,80,0.406,15,23,73,124
CA-507,566,434,403,0.929,170,396,0,76,312,254,170,170,170,1,49,14,13,50,120,396,396,264,233,0.883,63,262,134,0,0,0,0,0.0,0,454,454,454,448,0.987,153,20,84,370
CA-508,617,599,480,0.801,331,286,0,122,398,219,331,313,252,0.805,129,22,58,190,141,286,286,286,228,0.797,64,208,78,0,0,0,0,0.0,0,169,169,169,114,0.675,127,7,21,148
CA-509,209,186,147,0.79,108,101,0,32,79,130,108,93,92,0.989,20,24,18,44,64,101,101,93,55,0.591,14,35,66,0,0,0,0,0.0,0,340,340,340,303,0.891,0,163,198,142
CA-510,948,907,456,0.503,471,477,0,159,472,476,471,446,180,0.404,292,0,75,229,242,477,477,461,276,0.599,84,243,234,0,0,0,0,0.0,0,310,310,310,297,0.958,147,42,135,175
CA-511,3108,3060,1268,0.414,2379,729,0,324,1157,1951,2379,2331,685,0.294,250,118,152,590,1789,729,729,729,583,0.8,172,567,162,0,0,0,0,0.0,0,339,339,339,339,1.0,121,32,91,248
CA-512,790,734,655,0.892,130,660,0,115,505,285,130,108,75,0.694,0,21,12,49,81,660,660,626,580,0.927,103,456,204,0,0,0,0,0.0,0,426,426,426,411,0.965,252,42,116,310
CA-513,639,609,451,0.741,234,405,0,65,227,412,234,204,154,0.755,0,33,34,130,104,405,405,405,297,0.733,31,97,308,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
CA-514,1605,1375,738,0.537,713,868,24,289,925,680,713,531,142,0.267,20,3034,95,392,321,868,868,820,572,0.698,194,533,335,24,24,24,24,1.0,24,367,367,367,360,0.981,179,45,151,216
CA-515,621,527,248,0.471,216,405,0,119,374,247,216,159,149,0.937,40,20,32,123,93,405,405,368,99,0.269,87,251,154,0,0,0,0,0.0,0,89,89,89,72,0.809,13,11,25,64
CA-516,445,445,445,1,138,307,0,69,196,249,138,138,138,1,0,41,4,46,92,307,307,307,307,1,65,150,157,0,0,0,0,0.0,0,44,44,44,44,1.0,34,0,0,44
CA-517,214,176,170,0.966,105,109,0,30,88,126,105,93,93,1,50,105,11,40,65,109,109,83,77,0.928,19,48,61,0,0,0,0,0.0,0,60,60,60,60,1.0,10,5,10,50
CA-518,322,275,132,0.48,151,171,0,44,137,185,151,117,89,0.761,0,49,29,88,63,171,171,158,43,0.272,15,49,122,0,0,0,0,0.0,0,122,122,122,66,0.541,106,8,16,106
CA-519,385,367,216,0.589,206,179,0,33,115,270,206,188,126,0.67,0,10,9,25,181,179,179,179,90,0.503,24,90,89,0,0,0,0,0.0,0,152,152,152,135,0.888,31,41,116,36
CA-520,263,248,150,0.605,127,136,0,6,81,182,127,112,96,0.857,0,50,3,52,75,136,136,136,54,0.397,3,29,107,0,0,0,0,0.0,0,108,108,108,4,0.037,4,21,104,4
CA-521,257,232,178,0.767,89,168,0,39,147,110,89,64,52,0.813,35,22,8,33,56,168,168,168,126,0.75,31,114,54,0,0,0,0,0.0,0,130,130,130,9,0.069,35,1,3,127
CA-522,323,313,243,0.776,166,157,0,49,145,178,166,156,92,0.59,32,77,12,32,134,157,157,157,151,0.962,37,113,44,0,0,0,0,0.0,0,45,45,45,22,0.489,35,3,10,35
CA-523,97,76,52,0.684,15,82,0,16,71,26,15,9,0,0,28,0,2,12,3,82,82,67,52,0.776,14,59,23,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
CA-524,324,269,0,0,108,216,0,38,171,153,108,65,0,0,125,0,13,52,56,216,216,204,0,0,25,119,97,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
CA-525,161,127,0,0,46,115,0,24,74,87,46,22,0,0,0,11,11,29,17,115,115,105,0,0,13,45,70,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
CA-526,162,111,91,0.82,117,45,0,32,116,46,117,90,70,0.778,0,0,21,71,46,45,45,21,21,1,11,45,0,0,0,0,0,0.0,0,10,10,10,10,1.0,0,0,0,10
CA-528,28,0,0,.,28,0,0,8,20,8,28,0,0,.,0,1,8,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
CA-600,13570,12092,4850,0.401,4490,9025,55,1322,4231,9339,4490,3927,1954,0.498,1492,255,356,1307,3183,9025,9025,8110,2866,0.353,966,2924,6101,55,55,55,30,0.545,55,17008,17008,16976,1403,0.083,1775,2946,8364,8644
CA-601,2366,2126,2046,0.962,211,2108,47,238,866,1500,211,164,137,0.835,506,112,20,111,100,2108,2108,1915,1862,0.972,218,755,1353,47,47,47,47,1.0,47,847,847,847,654,0.772,338,31,118,729
CA-602,2529,2149,1761,0.819,485,2044,0,419,1503,1026,485,302,209,0.692,400,588,48,157,328,2044,2044,1847,1552,0.84,371,1346,698,0,0,0,0,0.0,0,997,997,997,593,0.595,487,133,295,702
CA-603,1041,913,545,0.597,541,500,0,100,384,657,541,469,322,0.687,256,40,52,208,333,500,500,444,223,0.502,48,176,324,0,0,0,0,0.0,0,448,448,448,190,0.424,162,26,80,368
CA-604,705,612,483,0.789,457,248,0,47,253,452,457,364,356,0.978,0,96,39,229,228,248,248,248,127,0.512,8,24,224,0,0,0,0,0.0,0,646,646,646,631,0.977,140,128,344,302
CA-605,227,189,169,0.894,29,189,9,35,147,80,29,0,0,0,130,0,10,29,0,189,189,180,160,0.889,25,118,71,9,9,9,9,1.0,9,116,116,116,97,0.836,29,0,0,116
CA-606,958,788,343,0.435,347,586,25,106,401,557,347,285,103,0.361,130,94,39,161,186,586,586,478,215,0.45,67,240,346,25,25,25,25,1.0,25,439,439,439,286,0.651,196,42,159,280
CA-607,287,251,251,1,142,145,0,30,149,138,142,106,106,1,130,0,5,70,72,145,145,145,145,1,25,79,66,0,0,0,0,0.0,0,138,138,138,138,1.0,50,12,38,100
CA-608,1496,1268,1268,1,769,727,0,287,862,634,769,649,649,1,72,0,147,378,391,727,727,619,619,1,140,484,243,0,0,0,0,0.0,0,364,364,364,364,1.0,144,42,42,322
CA-609,866,636,483,0.759,362,504,0,188,695,171,362,261,190,0.728,60,230,61,249,113,504,504,375,293,0.781,127,446,58,0,0,0,0,0.0,0,194,194,194,134,0.691,0,16,65,129
CA-610,1584,1331,1229,0.923,219,1353,12,253,1023,561,219,119,93,0.782,217,40,25,105,114,1353,1353,1200,1124,0.937,228,918,435,12,12,12,12,1.0,12,526,526,526,430,0.817,100,84,271,255
CA-611,355,355,69,0.194,207,148,0,51,207,148,207,207,0,0,100,24,14,103,104,148,148,148,69,0.466,37,104,44,0,0,0,0,0.0,0,44,44,44,7,0.159,0,10,17,27
CA-612,148,138,138,1,50,98,0,32,136,12,50,40,40,1,150,0,2,38,12,98,98,98,98,1,30,98,0,0,0,0,0,0.0,0,138,138,138,62,0.449,24,33,88,50
CA-613,206,206,186,0.903,130,76,0,65,117,89,130,130,130,1,0,8,41,41,89,76,76,76,56,0.737,24,76,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
CA-614,231,144,18,0.125,141,90,0,32,89,142,141,101,0,0,0,45,16,42,99,90,90,43,18,0.419,16,47,43,0,0,0,0,0.0,0,96,96,96,20,0.208,17,1,2,94
CO-500,1253,818,693,0.847,764,489,0,225,928,325,764,423,354,0.837,40,42,120,515,249,489,489,395,339,0.858,105,413,76,0,0,0,0,0.0,0,195,195,195,188,0.964,92,13,47,148
CO-503,4411,4091,3629,0.887,1517,2869,25,911,2316,2095,1517,1234,1013,0.821,110,278,233,609,908,2869,2869,2832,2591,0.915,678,1707,1162,25,25,25,25,1.0,25,2252,2252,2252,1879,0.834,797,275,726,1526
CO-504,756,716,608,0.849,310,446,0,87,278,478,310,270,236,0.874,0,65,18,67,243,446,446,446,372,0.834,69,211,235,0,0,0,0,0.0,0,187,187,187,138,0.738,116,9,26,161
CT-500,138,125,125,1,65,73,0,15,46,92,65,52,52,1,40,0,8,25,40,73,73,73,73,1,7,21,52,0,0,0,0,0.0,0,108,108,108,107,0.991,33,8,36,72
CT-501,694,673,597,0.887,437,257,0,93,272,422,437,416,416,1,75,46,56,182,255,257,257,257,181,0.704,37,90,167,0,0,0,0,0.0,0,681,681,681,544,0.799,88,86,245,436
CT-502,748,708,654,0.924,276,472,0,107,286,462,276,256,256,1,109,83,36,81,195,472,472,452,398,0.881,71,205,267,0,0,0,0,0.0,0,653,653,653,510,0.781,467,55,173,480
CT-503,454,445,331,0.744,229,225,0,50,194,260,229,229,185,0.808,4,21,27,118,111,225,225,216,146,0.676,23,76,149,0,0,0,0,0.0,0,776,776,770,665,0.864,286,125,399,377
CT-505,1161,992,938,0.946,740,421,0,174,579,582,740,647,613,0.947,90,62,106,352,388,421,421,345,325,0.942,68,227,194,0,0,0,0,0.0,0,1136,1136,1113,920,0.827,463,163,451,685
CT-506,141,129,129,1,141,0,0,11,56,85,141,129,129,1,3,59,11,56,85,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,171,171,171,167,0.977,93,11,30,141
CT-508,229,214,203,0.949,100,129,0,36,86,143,100,85,85,1,14,27,5,15,85,129,129,129,118,0.915,31,71,58,0,0,0,0,0.0,0,141,141,141,141,1.0,33,8,34,107
CT-509,118,82,82,1,87,31,0,16,44,74,87,67,67,1,21,0,10,30,57,31,31,15,15,1,6,14,17,0,0,0,0,0.0,0,238,238,198,187,0.944,39,61,149,89
CT-510,68,68,68,1,25,43,0,11,36,32,25,25,25,1,0,0,1,6,19,43,43,43,43,1,10,30,13,0,0,0,0,0.0,0,52,52,52,52,1.0,20,11,32,20
CT-512,170,156,156,1,170,0,0,24,90,80,170,156,156,1,0,30,24,90,80,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,305,305,305,299,0.98,67,57,185,120
DC-500,6375,6300,5449,0.865,3471,2879,25,864,2661,3714,3471,3413,3287,0.963,573,0,321,1001,2470,2879,2879,2862,2137,0.747,543,1660,1219,25,25,25,25,1.0,25,4832,4832,4796,2659,0.554,2286,470,1632,3200
DE-500,1233,1163,739,0.635,530,693,10,155,490,743,530,460,304,0.661,125,155,64,197,333,693,693,693,425,0.613,91,293,400,10,10,10,10,1.0,10,365,365,365,283,0.775,153,14,35,330
FL-500,1005,920,492,0.535,429,576,0,74,205,800,429,368,315,0.856,0,11,31,95,334,576,576,552,177,0.321,43,110,466,0,0,0,0,0.0,0,310,310,310,22,0.071,46,2,12,298
FL-501,1159,1009,612,0.607,349,785,25,155,489,670,349,247,156,0.632,0,0,37,90,259,785,785,737,431,0.585,118,399,386,25,25,25,25,1.0,25,682,682,682,276,0.405,62,121,322,360
FL-502,1974,1756,1388,0.79,991,938,45,148,528,1446,991,925,868,0.938,0,38,66,250,741,938,938,786,475,0.604,82,278,660,45,45,45,45,1.0,45,322,322,322,274,0.851,83,20,73,249
FL-503,552,526,454,0.863,255,297,0,57,226,326,255,229,157,0.686,0,115,17,68,187,297,297,297,297,1,40,158,139,0,0,0,0,0.0,0,69,69,69,59,0.855,20,28,49,20
FL-504,616,468,468,1,107,509,0,87,389,227,107,50,50,1,33,0,9,31,76,509,509,418,418,1,78,358,151,0,0,0,0,0.0,0,113,113,113,112,0.991,50,16,54,59
FL-505,320,276,190,0.688,140,180,0,56,156,164,140,112,104,0.929,130,20,30,84,56,180,180,164,86,0.524,26,72,108,0,0,0,0,0.0,0,47,47,47,47,1.0,47,0,0,47
FL-506,811,682,462,0.677,356,455,0,104,350,461,356,299,220,0.736,0,124,51,155,201,455,455,383,242,0.632,53,195,260,0,0,0,0,0.0,0,376,376,376,376,1.0,116,50,240,136
FL-507,2508,2253,1768,0.785,1076,1407,25,288,1053,1455,1076,888,783,0.882,0,290,93,361,715,1407,1407,1340,960,0.716,195,692,715,25,25,25,25,1.0,25,740,740,740,132,0.178,82,22,56,684
FL-508,420,324,243,0.75,202,218,0,52,156,264,202,144,81,0.563,100,36,20,74,128,218,218,180,162,0.9,32,82,136,0,0,0,0,0.0,0,232,232,232,173,0.746,86,20,70,162
FL-509,249,201,201,1,143,106,0,59,193,56,143,95,95,1,18,0,30,87,56,106,106,106,106,1,29,106,0,0,0,0,0,0.0,0,146,146,146,146,1.0,132,4,7,139
FL-510,2265,2111,1387,0.657,802,1463,0,237,685,1580,802,660,590,0.894,0,436,92,295,507,1463,1463,1451,797,0.549,145,390,1073,0,0,0,0,0.0,0,808,808,808,704,0.871,181,44,67,741
FL-511,659,588,512,0.871,200,459,0,61,284,375,200,129,101,0.783,0,36,22,110,90,459,459,459,411,0.895,39,174,285,0,0,0,0,0.0,0,191,191,191,161,0.843,75,0,0,191
FL-512,198,126,122,0.968,76,122,0,74,144,54,76,28,28,1,0,50,10,40,36,122,122,98,94,0.959,64,104,18,0,0,0,0,0.0,0,63,63,63,0,0.0,0,0,0,63
FL-513,735,715,571,0.799,146,589,0,96,410,325,146,126,54,0.429,126,0,7,37,109,589,589,589,517,0.878,89,373,216,0,0,0,0,0.0,0,137,137,137,137,1.0,43,31,92,45
FL-514,741,673,534,0.793,187,554,0,28,164,577,187,119,119,1,0,0,4,84,103,554,554,554,415,0.749,24,80,474,0,0,0,0,0.0,0,89,89,89,9,0.101,3,0,0,89
FL-515,267,235,231,0.983,105,162,0,30,102,165,105,73,73,1,16,33,9,38,67,162,162,162,158,0.975,21,64,98,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
FL-516,78,78,65,0.833,8,70,0,18,48,30,8,8,0,0,0,0,0,0,8,70,70,70,65,0.929,18,48,22,0,0,0,0,0.0,0,18,18,18,18,1.0,0,4,12,6
FL-517,141,141,16,0.113,68,73,0,13,36,105,68,68,0,0,0,0,3,8,60,73,73,73,16,0.219,10,28,45,0,0,0,0,0.0,0,144,144,144,68,0.472,28,20,68,76
FL-518,105,55,55,1,54,51,0,4,50,55,54,12,12,1,0,0,2,42,12,51,51,43,43,1,2,8,43,0,0,0,0,0.0,0,11,11,11,11,1.0,11,0,0,11
FL-519,114,58,58,1,108,6,0,23,50,64,108,52,52,1,0,0,23,50,58,6,6,6,6,1,0,0,6,0,0,0,0,0.0,0,138,138,138,138,1.0,0,47,123,15
FL-520,388,270,208,0.77,180,208,0,46,176,212,180,68,12,0.176,95,16,28,123,57,208,208,202,196,0.97,18,53,155,0,0,0,0,0.0,0,81,81,81,67,0.827,14,5,14,67
FL-600,3596,3096,1979,0.639,1593,1975,28,391,1637,1959,1593,1464,1042,0.712,0,393,154,686,907,1975,1975,1604,909,0.567,237,951,1024,28,28,28,28,1.0,28,2636,2636,2636,2633,0.999,562,382,1243,1393
FL-601,2342,2280,1325,0.581,764,1543,35,224,700,1642,764,702,632,0.9,0,540,53,230,534,1543,1543,1543,658,0.426,171,470,1073,35,35,35,35,1.0,35,1829,1829,1422,986,0.693,292,424,1284,545
FL-602,217,198,184,0.929,60,157,0,32,85,132,60,54,54,1,0,0,13,34,26,157,157,144,130,0.903,19,51,106,0,0,0,0,0.0,0,66,66,66,51,0.773,66,0,0,66
FL-603,453,373,303,0.812,222,231,0,30,114,339,222,142,122,0.859,0,0,26,102,120,231,231,231,181,0.784,4,12,219,0,0,0,0,0.0,0,170,170,170,123,0.724,59,5,11,159
FL-604,431,373,373,1,244,187,0,31,104,327,244,186,186,1,0,60,17,56,188,187,187,187,187,1,14,48,139,0,0,0,0,0.0,0,161,161,161,161,1.0,51,10,26,135
FL-605,752,564,495,0.878,387,351,14,75,311,441,387,277,263,0.949,0,113,55,219,168,351,351,273,218,0.799,20,92,259,14,14,14,14,1.0,14,607,607,607,607,1.0,87,100,406,201
FL-606,266,182,154,0.846,166,100,0,29,110,156,166,142,138,0.972,0,49,14,47,119,100,100,40,16,0.4,15,63,37,0,0,0,0,0.0,0,72,72,72,56,0.778,0,8,16,56
GA-500,5004,4900,3929,0.802,2009,2995,0,394,1607,3397,2009,1951,1783,0.914,312,182,81,318,1691,2995,2995,2949,2146,0.728,313,1289,1706,0,0,0,0,0.0,0,2066,2066,2066,1537,0.744,267,227,780,1286
GA-501,2647,1604,1348,0.84,1368,1279,0,534,1800,847,1368,727,603,0.829,0,30,227,760,608,1279,1279,877,745,0.849,307,1040,239,0,0,0,0,0.0,0,1414,1414,1378,1254,0.91,257,330,797,617
GA-503,242,226,137,0.606,121,121,0,37,117,125,121,105,68,0.648,31,14,15,43,78,121,121,121,69,0.57,22,74,47,0,0,0,0,0.0,0,77,77,77,77,1.0,60,6,17,60
GA-504,489,489,294,0.601,280,209,0,52,150,339,280,280,132,0.471,0,0,23,78,202,209,209,209,162,0.775,29,72,137,0,0,0,0,0.0,0,82,82,82,67,0.817,0,16,38,44
GA-505,294,251,95,0.378,224,70,0,22,91,203,224,181,53,0.293,6,5,21,83,141,70,70,70,42,0.6,1,8,62,0,0,0,0,0.0,0,161,161,161,133,0.826,39,0,0,161
GA-506,404,331,321,0.97,122,282,0,85,245,159,122,90,90,1,0,51,22,60,62,282,282,241,231,0.959,63,185,97,0,0,0,0,0.0,0,93,93,93,93,1.0,30,6,20,73
GA-507,885,837,741,0.885,506,379,0,68,252,633,506,458,362,0.79,30,0,14,90,416,379,379,379,379,1,54,162,217,0,0,0,0,0.0,0,498,498,498,384,0.771,41,94,308,190
GU-500,240,177,172,0.972,93,147,0,35,147,93,93,38,38,1,0,7,10,39,54,147,147,139,134,0.964,25,108,39,0,0,0,0,0.0,0,88,88,88,88,1.0,55,9,33,55
HI-500,903,795,795,1,326,577,0,171,650,253,326,238,238,1,0,0,57,201,125,577,577,557,557,1,114,449,128,0,0,0,0,0.0,0,197,197,197,177,0.898,100,20,60,137
HI-501,3356,3260,3222,0.988,1144,2187,25,608,2291,1065,1144,1068,1030,0.964,0,64,145,624,520,2187,2187,2167,2167,1,463,1667,520,25,25,25,25,1.0,25,854,854,854,738,0.864,244,49,183,671
IA-500,463,251,128,0.51,178,285,0,116,286,177,178,148,29,0.196,0,0,15,47,131,285,285,103,99,0.961,101,239,46,0,0,0,0,0.0,0,7,7,7,7,1.0,3,0,0,7
IA-501,2352,1897,1550,0.817,1011,1341,0,418,1475,877,1011,614,436,0.71,59,38,136,512,499,1341,1341,1283,1114,0.868,282,963,378,0,0,0,0,0.0,0,387,387,387,313,0.809,76,47,151,236
IA-502,1163,1087,1065,0.98,398,765,0,123,419,744,398,336,336,1,9,4,34,132,266,765,765,751,729,0.971,89,287,478,0,0,0,0,0.0,0,491,491,491,392,0.798,82,92,284,207
ID-500,808,708,357,0.504,529,279,0,106,296,512,529,473,182,0.385,156,196,68,187,342,279,279,235,175,0.745,38,109,170,0,0,0,0,0.0,0,158,158,158,115,0.728,64,24,71,87
ID-501,1097,802,603,0.752,452,645,0,224,682,415,452,235,157,0.668,0,1,82,221,231,645,645,567,446,0.787,142,461,184,0,0,0,0,0.0,0,248,248,248,248,1.0,76,43,109,139
IL-500,201,180,139,0.772,14,187,0,36,117,84,14,14,14,1,40,34,3,10,4,187,187,166,125,0.753,33,107,80,0,0,0,0,0.0,0,26,26,26,26,1.0,11,0,0,26
